Winner,PiecesLeft,TotalMoves,Score
1,8,29,771
1,7,20,680
1,7,22,678
1,9,18,882
1,8,29,771
1,9,17,883
1,7,21,679
1,8,24,776
1,9,23,877
1,8,20,780
1,8,32,768
1,8,19,781
1,9,17,883
1,9,19,881
1,9,20,880
2,9,25,875
1,6,34,566
1,9,16,884
1,7,19,681
1,8,41,759
1,9,17,883
1,9,21,879
1,4,71,329
1,9,18,882
1,9,21,879
1,6,31,569
1,4,38,362
1,4,43,357
1,9,21,879
2,8,22,778
1,7,19,681
1,9,17,883
1,9,19,881
1,8,30,770
1,9,16,884
1,9,21,879
2,9,35,865
1,9,23,877
1,9,22,878
1,9,21,879
1,8,18,782
1,8,18,782
1,9,23,877
1,8,18,782
1,7,21,679
1,9,18,882
1,8,16,784
1,9,20,880
1,6,25,575
1,9,20,880
1,8,21,779
1,6,40,560
1,7,24,676
1,9,19,881
1,8,25,775
1,8,20,780
1,9,17,883
1,9,26,874
1,7,22,678
1,9,26,874
1,7,63,637
1,8,20,780
1,9,22,878
1,9,21,879
1,8,35,765
1,9,30,870
1,8,18,782
1,8,17,783
1,9,61,839
2,9,20,880
2,9,34,866
1,7,26,674
1,9,15,885
1,9,17,883
1,9,22,878
1,6,41,559
1,6,27,573
1,9,55,845
1,9,19,881
2,9,17,883
1,8,23,777
1,9,19,881
1,9,41,859
1,9,22,878
2,8,12,788
1,8,30,770
1,7,19,681
1,8,23,777
1,5,39,461
1,7,27,673
1,8,20,780
1,7,24,676
2,9,28,872
1,9,16,884
1,9,19,881
1,9,24,876
1,7,22,678
1,9,20,880
2,8,9,791
1,8,22,778
1,9,20,880
1,7,23,677
1,5,34,466
1,7,23,677
1,9,24,876
1,7,29,671
1,8,28,772
1,9,19,881
1,9,18,882
1,9,23,877
1,9,18,882
1,9,17,883
1,6,29,571
1,9,20,880
2,9,27,873
1,5,25,475
1,5,28,472
2,9,29,871
1,8,17,783
1,9,23,877
1,7,21,679
1,9,34,866
1,6,37,563
1,7,18,682
2,9,34,866
1,9,18,882
1,9,16,884
2,7,28,672
1,9,22,878
1,8,24,776
1,8,20,780
2,9,21,879
1,9,15,885
1,9,23,877
1,8,16,784
1,7,22,678
1,9,19,881
1,9,19,881
1,9,24,876
1,6,25,575
1,7,20,680
1,9,22,878
1,5,27,473
1,9,18,882
1,9,17,883
2,8,27,773
1,9,19,881
1,8,22,778
1,9,16,884
1,9,21,879
2,9,33,867
1,9,19,881
1,9,22,878
2,8,28,772
1,9,20,880
1,9,17,883
2,8,34,766
1,8,26,774
1,5,25,475
1,9,19,881
1,6,23,577
1,8,27,773
1,9,15,885
1,8,22,778
1,9,19,881
1,8,25,775
1,9,21,879
1,9,23,877
1,9,20,880
1,5,29,471
1,7,24,676
1,9,18,882
1,8,17,783
1,9,18,882
1,9,20,880
1,5,39,461
1,9,23,877
1,7,25,675
1,8,24,776
2,9,18,882
1,8,18,782
1,6,27,573
1,7,27,673
1,9,22,878
1,9,15,885
1,9,22,878
1,7,26,674
1,8,21,779
1,8,16,784
1,7,18,682
1,9,18,882
1,9,20,880
1,8,19,781
1,8,25,775
2,6,20,580
1,8,23,777
1,8,29,771
1,9,21,879
1,8,22,778
1,8,20,780
