Winner,PiecesLeft,TotalMoves,Score
1,9,17,883
1,8,20,780
1,5,20,480
1,8,23,777
2,5,28,472
2,7,22,678
1,5,20,480
1,8,22,778
1,6,21,579
1,8,16,784
1,8,25,775
1,7,23,677
1,7,16,684
1,9,19,881
1,5,24,476
2,7,25,675
1,9,17,883
1,9,18,882
1,7,22,678
2,8,9,791
2,5,24,476
1,8,16,784
1,9,15,885
1,8,17,783
1,9,19,881
2,6,18,582
1,4,25,375
2,6,23,577
1,8,17,783
1,6,24,576
1,8,15,785
1,7,17,683
2,8,28,772
1,9,18,882
1,9,14,886
1,9,16,884
1,4,25,375
2,6,28,572
1,8,15,785
1,9,18,882
1,8,22,778
1,8,19,781
1,8,20,780
1,9,23,877
1,8,18,782
1,7,18,682
2,9,17,883
1,4,25,375
1,8,25,775
1,8,25,775
1,6,25,575
2,9,20,880
1,7,17,683
1,7,22,678
1,8,19,781
1,8,15,785
1,9,18,882
1,9,18,882
2,9,20,880
1,8,19,781
1,7,16,684
1,9,17,883
1,8,16,784
2,5,20,480
1,9,23,877
1,8,22,778
1,7,19,681
1,8,16,784
1,9,16,884
2,9,28,872
1,8,17,783
1,7,22,678
1,9,19,881
2,9,24,876
1,8,20,780
1,9,19,881
1,7,43,657
1,6,25,575
1,9,17,883
1,7,19,681
2,7,23,677
1,5,25,475
1,7,17,683
1,4,30,370
2,9,18,882
2,9,24,876
1,8,22,778
1,9,16,884
1,7,18,682
1,9,20,880
1,8,16,784
2,9,34,866
1,9,21,879
1,9,17,883
1,7,25,675
1,7,22,678
2,8,26,774
1,9,17,883
1,8,19,781
1,9,19,881
2,8,24,776
2,5,25,475
1,8,21,779
1,5,22,478
1,7,34,666
1,7,17,683
1,8,19,781
1,7,18,682
1,8,20,780
1,4,33,367
1,8,17,783
2,9,19,881
1,8,16,784
2,8,16,784
2,9,29,871
1,4,26,374
1,9,19,881
2,9,17,883
2,8,24,776
1,6,29,571
1,6,25,575
1,7,23,677
1,8,17,783
1,8,20,780
2,9,21,879
1,8,18,782
1,9,23,877
1,9,19,881
1,8,16,784
2,5,26,474
1,9,21,879
1,8,16,784
1,7,19,681
1,8,17,783
1,8,18,782
1,9,16,884
1,7,25,675
2,9,23,877
2,8,25,775
1,9,17,883
1,9,21,879
1,9,17,883
1,4,32,368
1,6,18,582
2,8,26,774
1,9,18,882
1,6,20,580
1,7,23,677
2,8,22,778
1,9,21,879
