Winner,PiecesLeft,TotalMoves,Score
1,9,25,875
1,9,23,877
1,9,21,879
1,7,34,666
1,9,35,865
1,8,31,769
1,9,44,856
1,9,22,878
1,7,21,679
1,9,21,879
1,9,25,875
1,8,25,775
1,9,18,882
1,6,30,570
1,8,21,779
1,9,31,869
1,9,26,874
1,9,61,839
1,9,23,877
1,9,39,861
1,9,22,878
1,9,20,880
1,9,30,870
1,8,31,769
1,9,20,880
1,9,18,882
1,9,21,879
1,9,20,880
1,8,32,768
2,9,26,874
1,7,32,668
1,8,29,771
1,9,19,881
1,9,29,871
1,9,17,883
1,7,27,673
1,9,47,853
1,9,22,878
1,9,49,851
1,7,21,679
1,9,19,881
2,8,29,771
1,6,40,560
1,8,18,782
2,9,21,879
1,9,21,879
